numero,codigo,distrito,estacion,latitud,longitud,ggdd,zona,tmnd
1,1,CABA,Aeroparque,34.6,58.4,850,3b,1.7
2,1,CABA,Buenos Aires Obs,34.6,58.5,793,3b,0.1
3,2,Gran Bs As,Castelar,34.7,58.7,1019,3b,1.4
4,2,Gran Bs As,El Palomar,34.6,58.6,995,3b,-4.5
5,2,Gran Bs As,Ezeiza,34.8,58.5,1106,3b,-3.5
6,2,Gran Bs As,La Plata Aero,35,57.9,1178,4d,-1
7,2,Gran Bs As,La Plata Obs,35,57.9,992,3b,-2.5
8,2,Gran Bs As,Moron,34.7,58.6,993,3b,1.6
9,2,Gran Bs As,San Miguel,34.6,58.7,1045,3b,-2.2
10,2,Gran Bs As,Parque Pereyra,34.9,58.2,1133,3b,1.4
11,2,Gran Bs As,San Fernando,34.4,58.6,1045,3b,-2.3
12,2,Gran Bs As,Don Torcuato,34.5,58.6,0,3b,-2.7
13,3,Bs As Norte,Isla Martin Garcia,34.2,58.3,772,2b,3.6
14,3,Bs As Norte,Junin,34.6,61,1148,3a,-5
15,3,Bs As Norte,Los Hornos,34.9,58,1148,3b,1
16,3,Bs As Norte,Mercedes,34.7,59.4,1163,3a,-0.2
17,3,Bs As Norte,Nueve de Julio,35.5,60.9,1128,3a,-3.8
18,3,Bs As Norte,Pergamino,33.9,60.6,1165,3a,-4.4
19,3,Bs As Norte,Trenque Lauquen,36,62.7,1165,3a,-0.8
20,3,Bs As Norte,San Pedro,33.7,59.7,909,3b,1.1
21,4,Bs As Sur,Argerich,38.8,62.6,1382,4c,-1.9
22,4,Bs As Sur,Azul,36.8,59.8,1598,4c,-2.1
23,4,Bs As Sur,Bahia Blanca,38.7,62.2,1369,4c,-5.6
24,4,Bs As Sur,Balcarce,37.8,58.3,1669,4d,0.6
25,4,Bs As Sur,Barrow,38.3,60.3,1690,4c,-1.7
26,4,Bs As Sur,Bolivar,36.3,61.1,1284,4c,-0.7
27,4,Bs As Sur,Bordenave,37.9,63,1571,4c,-2.3
28,4,Bs As Sur,Comandante Espora,38.7,62.2,1427,4c,-1.4
29,4,Bs As Sur,Coronel Suarez,37.5,62,1717,4c,-2.3
30,4,Bs As Sur,Dolores,36.4,57.7,1345,4c,-0.3
31,4,Bs As Sur,Hilario Ascasubi,39.4,62.6,1516,4c,-2.4
32,4,Bs As Sur,Laprida,37.6,60.8,1638,4c,-2.1
33,4,Bs As Sur,Las Flores,36,59.1,1337,4c,-0.7
34,4,Bs As Sur,Lopez Juarez,37.5,59.6,1844,4c,-2.2
35,4,Bs As Sur,Mar del Plata,38.1,57.6,1486,4d,0.5
36,4,Bs As Sur,Mar del Plata Aero,37.9,57.6,1653,4d,-4.4
37,4,Bs As Sur,Necochea,38.6,58.7,1465,4d,0.6
38,4,Bs As Sur,Pehuajo,35.9,61.9,1296,4c,-5.2
39,4,Bs As Sur,Pigue,37.6,62.4,1794,4c,-6.4
40,4,Bs As Sur,Pinamar,37.1,56.9,1401,4d,0.5
41,4,Bs As Sur,Punta Indio,35.4,57.3,1185,4d,-1.9
42,4,Bs As Sur,San Clemente,36.4,56.7,1309,4d,1.9
43,4,Bs As Sur,Sierra de la Ventana,38.1,61.8,1553,4c,-12.8
44,4,Bs As Sur,Tandil,37.2,59.3,1654,4d,-6.6
45,4,Bs As Sur,Tres Aroyos,38.4,60.3,1506,4c,-4.4
46,5,Catamarca,Catamarca,28.5,65.8,447,2b,1.3
47,5,Catamarca,Catamarca INTI,28.5,65.7,426,2b,1.9
48,5,Catamarca,Tinogasta,28.1,67.6,943,3a,-4.8
49,6,Cordoba,Belle Ville,32.6,62.7,870,3a,-0.3
50,6,Cordoba,Cordoba,31.4,64.2,608,2b,1.3
51,6,Cordoba,Cordoba Aero,31.3,64.2,703,2b,0.5
52,6,Cordoba,Dique Cruz del Eje,30.8,64.8,383,1b,3
53,6,Cordoba,Dique La Viña,31.9,65,819,3a,-0.2
54,6,Cordoba,Dique Piscohuasi,30.3,64,702,2a,0
55,6,Cordoba,Embalse,32.2,64.4,782,3b,0.7
56,6,Cordoba,Huerta Grande,31.1,64.5,1281,4d,0
57,6,Cordoba,Laboulaye,34.1,63.4,930,3a,-0.6
58,6,Cordoba,Marcos Suarez,32.7,62.2,842,3a,0.3
59,6,Cordoba,Miramar,30.9,62.7,573,2b,3.1
60,6,Cordoba,Pilar,31.7,63.9,744,2b,0.5
61,6,Cordoba,Rio Cuarto,33.1,64.3,912,3b,0.3
62,6,Cordoba,Villa Dolores,32,65.1,617,2a,1.1
63,6,Cordoba,Villa Maria,29.9,63.7,681,2a,-0.3
64,7,Corrientes,Bella Vista,28.4,58.9,212,1b,5.8
65,7,Corrientes,Corrientes,27.5,58.8,56,1b,7.6
66,7,Corrientes,Corrients Aero,27.5,58.8,150,1b,6.1
67,7,Corrientes,General Paz,27.8,57.6,105,1b,6.9
68,7,Corrientes,Goya,29.1,59.3,294,1b,4.6
69,7,Corrientes,Ituzaingo,27.6,56.7,145,1b,6.2
70,7,Corrientes,Monte Caseros,30.3,57.7,412,2b,4.6
71,7,Corrientes,Paso de los Libres,29.7,57.2,377,1b,4.7
72,8,Chubut,Cabo Raso,44.4,65.2,2259,5b,-2.1
73,8,Chubut,Comodoro Rivadavia,45.8,67.5,1854,4d,-1.1
74,8,Chubut,Esquel,42.9,71.4,3683,6b,-7
75,8,Chubut,Gobernador Costa,44.4,70.4,3647,6b,-6.9
76,8,Chubut,Trelew,43.2,65.3,1673,4c,-2.7
77,9,Chaco,Colonia Benitez,27.4,58.9,145,1b,5.8
78,9,Chaco,Colonia Castelli,26,60.6,70,1a,5.8
79,9,Chaco,Las Breñas,27.1,61.1,170,1b,5
80,9,Chaco,Presidente R S Peña,26.8,60.5,108,1b,5.8
81,9,Chaco,Resistencia,27.5,59.1,156,1b,5.9
82,9,Chaco,Resistencia Aero club,27.5,59,96,1b,7.2
83,9,Chaco,Roque Saenz Peña,26.9,60.5,154,1a,5.2
84,9,Chaco,Villa Angela,27.6,60.7,210,1b,4.7
85,10,Entre Rios,Concordia,31.3,58,532,2b,3.8
86,10,Entre Rios,Gualeguaychu,32.9,58.5,903,3a,1.2
87,10,Entre Rios,Gualeguaychu Aero,33,58.6,822,3b,1.7
88,10,Entre Rios,Mazaruca,33.6,59.4,853,3b,1.8
89,10,Entre Rios,Parana,31.8,60.5,591,2b,3.5
90,10,Entre Rios,Parana Aero,31.8,60.5,632,2b,2.5
91,11,Formosa,Formosa,26.2,58.2,21,1b,7.7
92,11,Formosa,Las Lomitas,24.7,60.6,41,1b,6.6
93,11,Formosa,San Francisco,26.2,58.7,25,1b,7.3
94,11,Formosa,Taca Agle,25,58.8,0,1b,8.1
95,12,Jujuy,Alto de Comedero,24.2,65.3,665,2b,1.5
96,12,Jujuy,Humahuaca,23.2,65.4,1942,4a,-7.1
